Rank,Name,Total_net_worth,Last_change,YTD_change,Country,Industry
211,Jorn Rausing,6810000000.0,-62700000.0,223000000.0,Sweden,Services
212,Suh Kyung-Bae,6790000000.0,22700000.0,74200000.0,Korea,Consumer
213,Xu Shihui,6790000000.0,-524000,737000000.0,China,Food & Beverage
214,Les Wexner,6780000000.0,31800000.0,-696000000.0,United States,Retail
215,Gong Hongjia,6720000000.0,2330000.0,1570000.0,China,Technology
216,Michael Kadoorie,6710000000.0,2520000.0,704000000.0,Hong Kong,Energy
217,Finn Rausing,6660000000.0,-37200000.0,265000000.0,Sweden,Services
218,Kirsten Rausing,6660000000.0,-37200000.0,265000000.0,Sweden,Services
219,Travis Kalanick,6650000000.0,0,0,United States,Technology
220,Garrett Camp,6650000000.0,0,0,Canada,Technology
221,Wu Shaoxun,6640000000.0,-62000000.0,1300000.0,China,Food & Beverage
222,Heinrich Deichmann,6630000000.0,-27700000.0,107000000.0,Germany,Retail
223,Robert Rowling,6620000000.0,9240000.0,-87500000.0,United States,Energy
224,Zhang Shiping,6580000000.0,-255000,396000000.0,China,Industrial
225,Nicky Oppenheimer,6570000000.0,27300000.0,113000000.0,South Africa,Diversified
226,Arthur Irving,6540000000.0,77200000.0,-181000000.0,Canada,Energy
227,Jay Y Lee,6450000000.0,77200000.0,754000000.0,Korea,Diversified
228,George Lucas,6430000000.0,-20400000.0,364000000.0,United States,Entertainment
229,Shari Arison,6410000000.0,-37300000.0,356000000.0,Israel,Diversified
230,Dave Duffield,6400000000.0,45500000.0,1280000.0,United States,Technology
231,Vivien Chen,6360000000.0,2360000.0,756000000.0,Hong Kong,Real Estate
232,Hansjoerg Wyss,6360000000.0,2490000.0,129000000.0,Switzerland,Health Care
233,Charles Butt,6340000000.0,51600000.0,-802000000.0,United States,Retail
234,Melker Schorling,6330000000.0,-59500000.0,233000000.0,Sweden,Diversified
235,Majid Al Futtaim,6320000000.0,170000000.0,-255000000.0,United Arab Emirates,Real Estate
236,Antonia Axson Johnson,6290000000.0,29300000.0,215000000.0,Sweden,Industrial
237,Terry Gou,6280000000.0,77900000.0,2240000.0,Taiwan,Industrial
238,Ray Hunt,6260000000.0,76900000.0,-409000000.0,United States,Energy
239,Bertil Hult,6250000000.0,17000000.0,336000000.0,Sweden,Diversified
240,Jim Ratcliffe,6220000000.0,13000000.0,9230000.0,United Kingdom,Industrial
241,Gautam Adani,6210000000.0,53600000.0,1580000.0,India,Industrial
242,Walter Faria,6190000000.0,42700000.0,674000000.0,Brazil,Food & Beverage
243,Karl-Heinz Kipp,6180000000.0,25000000.0,66700000.0,Germany,Real Estate
244,Jim Pattison,6150000000.0,25800000.0,189000000.0,Canada,Media & Telecom
245,Margarita Louis-Dreyfus,6140000000.0,36300000.0,-159000000.0,Switzerland,Commodities
246,Theo Mueller,6110000000.0,-25500000.0,438000000.0,Germany,Food & Beverage
247,Eva Gonda,6110000000.0,109000000.0,370000000.0,Mexico,Food & Beverage
248,Yu Huijiao,6100000000,-94900000.0,3790000.0,China,Services
249,John Albert Sobrato,6080000000.0,0,143000000.0,United States,Real Estate
250,Maria Helena Moraes,6070000000.0,104000000.0,595000000.0,Brazil,Industrial
251,Ermirio de Moraes,6070000000.0,104000000.0,594000000.0,Brazil,Commodities
252,Hiroshi Mikitani,6040000000.0,215000000.0,268000000.0,Japan,Retail
253,Lu Guanqiu,6030000000.0,-4510000.0,-98100000.0,China,Diversified
254,Micky Jagtiani,6020000000.0,73100000.0,1030000.0,India,Retail
255,Christo Wiese,5950000000.0,-28000000.0,30600000.0,South Africa,Retail
256,Benu Gopal Bangur,5930000000.0,90700000.0,964000000.0,India,Commodities
257,Erivan Karl Haub,5870000000.0,-11400000.0,610000000.0,Germany,Retail
258,John P Grayken,5840000000.0,-4860000.0,749000000.0,Ireland,Finance
259,Christy Walton,5820000000.0,22300000.0,36700000.0,United States,Retail
260,Natie Kirsh,5820000000.0,56700000.0,72400000.0,South Africa,Food & Beverage
261,Margaretta Taylor,5810000000.0,5570000.0,51100000.0,United States,Media & Telecom
262,James Chambers,5810000000.0,5120000.0,51100000.0,United States,Media & Telecom
263,Katharine Rayner,5810000000.0,5120000.0,51100000.0,United States,Media & Telecom
264,Lucio Tan,5800000000.0,-166000000.0,583000000.0,Philippines,Diversified
265,Diane Hendricks,5800000000.0,0,575000000.0,United States,Services
266,Alexander Otto,5800000000.0,4139999.9999999995,20000000.0,Germany,Real Estate
267,Nassef Sawiris,5790000000.0,-12800000.0,640000000.0,Egypt,Industrial
